# MJD,Flux,Eflux
5.860622447996254778e+04,9.930590938350208896e-01,8.981926456782898284e-04
5.860624531339984969e+04,1.008986099122799684e+00,8.960408926414676527e-04
5.860626614683632943e+04,1.002716862932649944e+00,8.965286924737452890e-04
5.860630781370577461e+04,1.001428643003483554e+00,8.969269232779732105e-04
5.860632864713823801e+04,9.965216119149399310e-01,8.971613464515816681e-04
5.860634948056888243e+04,1.003922328507819817e+00,8.954228247915738993e-04
5.860637031399750413e+04,9.986163096249173199e-01,8.954896963843535750e-04
5.860643281426949397e+04,9.938890764462219307e-01,8.953831630927778108e-04
5.860647448110472760e+04,1.003970564998292847e+00,8.955310018018873899e-04
5.860651614792923647e+04,9.967049201513524803e-01,8.937724605345938930e-04
5.860653698133749276e+04,9.913873326153509469e-01,8.951375079592905747e-04
5.860655781474318064e+04,1.004636269029039575e+00,8.939810742354839350e-04
5.860657864814640197e+04,9.951250755164294803e-01,8.932516837868661758e-04
5.860659948154729500e+04,9.944476371578298002e-01,8.956607365099231990e-04
5.860662031494602707e+04,1.005670785322274163e+00,8.941222883260668136e-04
5.860664114834278735e+04,9.991666723823277030e-01,8.941383803415988698e-04
5.860668281513126567e+04,1.000939276638324937e+00,8.924788513040137622e-04
5.860670364852347120e+04,1.001947356381703624e+00,8.917126577982081729e-04
5.860674531530508830e+04,1.000319198935714304e+00,8.919675891335101170e-04
5.860676614869503828e+04,1.001245805746660222e+00,8.905530941509866858e-04
5.860678698208476271e+04,9.946746401897375023e-01,8.913439775113347419e-04
5.860680781547452352e+04,9.928795064982754992e-01,8.919929127624001480e-04
5.860687031564634526e+04,9.956041524588482572e-01,8.902427193636273332e-04
5.860693281582606141e+04,1.011781976152904550e+00,8.873215025198616032e-04
5.860695364922171575e+04,1.011947211233276134e+00,8.863574935432518920e-04
5.860699531601704803e+04,1.003393905000213193e+00,8.853230604336588712e-04
5.860701614941675507e+04,1.002776116249413985e+00,8.864147367625246606e-04
5.860705781622004724e+04,9.895704988664781876e-01,8.848884503592342960e-04
5.860709948302782868e+04,9.963482155212128877e-01,8.808107854577423498e-04
5.860712031643303635e+04,1.003137805172350516e+00,8.814482485053989382e-04
5.860714114983887703e+04,1.013008474621786670e+00,8.796839935757143521e-04
5.860716198324512516e+04,1.008499634368579478e+00,8.789760210346475025e-04
5.860718281665156246e+04,1.003594300390679317e+00,8.787080036719478000e-04
5.860720365005792701e+04,1.008673796300862069e+00,8.779118462458262257e-04
5.860722448346395686e+04,1.010765282977279744e+00,8.776085918490804773e-04
5.860724531686940463e+04,1.001590596940815203e+00,8.768405940499896878e-04
5.860726615027398657e+04,1.004861716670987226e+00,8.762113222018730416e-04
5.860734948387862096e+04,1.009256225498966542e+00,8.767972097301647821e-04
5.860737031727518479e+04,9.954106402038221946e-01,8.751130830984185085e-04
5.860741198406147305e+04,9.984125097549696459e-01,8.735432297815191784e-04
5.860745365083773504e+04,1.009548630752250542e+00,8.736924029891696185e-04
5.860747448422190064e+04,1.000070926290953066e+00,8.727956739999939402e-04
5.860749531760336686e+04,1.002431537531660810e+00,8.723320106120512453e-04
5.860751615098214825e+04,9.991773259147883612e-01,8.737703368933100742e-04
5.860753698435829574e+04,1.002795468164017212e+00,8.716953575301785535e-04
5.860757865110301645e+04,1.005980254996237555e+00,8.716358090132995473e-04
5.860759948447184433e+04,1.009133305738616704e+00,8.720636884474261986e-04
5.860762031783852581e+04,1.009659560136671130e+00,8.721247673777374719e-04
5.860766198456627899e+04,1.002352771322995606e+00,8.716221415665714647e-04
5.860768281792780181e+04,1.003840933935830515e+00,8.720378156513656619e-04
5.860772448464738409e+04,1.003747591621620527e+00,8.731622044763913577e-04
5.860774531800596014e+04,1.010413274209657430e+00,8.728881851092735534e-04
5.860776615136409237e+04,1.011511365093460846e+00,8.735155632320735575e-04
5.860778698472202814e+04,1.004661346927695931e+00,8.734454003579818302e-04
5.860780781808003667e+04,1.004682956589733056e+00,8.740033224605898467e-04
5.860782865143834351e+04,9.980607126954305075e-01,8.742569954165654855e-04
5.860784948479718878e+04,9.923902432393001405e-01,8.740033077091640713e-04
5.860787031815676892e+04,9.932948014025076988e-01,8.772281124726328486e-04
5.860789115151726583e+04,9.921310184307492452e-01,8.789111935450781999e-04
5.860791198487883958e+04,1.008722578712925699e+00,8.760063286791136853e-04
5.860793281824159931e+04,9.970663133885558915e-01,8.763274688164950522e-04
5.860795365160563961e+04,9.901657720253769224e-01,8.772446025734748467e-04
5.860799531833778019e+04,9.878851695214687645e-01,8.787788247108242442e-04
5.860805781844594458e+04,1.003813193969894213e+00,8.810533745613612251e-04
5.860807865181769739e+04,1.006075514860891973e+00,8.827382905744244300e-04
5.860809948519042518e+04,9.909755925646064334e-01,8.828041733265709233e-04
5.860814115193807811e+04,1.004279529365893486e+00,8.836800737662928477e-04
5.860818281868725171e+04,1.006376570885705979e+00,8.857563219170676771e-04
5.860820365206181305e+04,1.005290052180504601e+00,8.866940053522466862e-04
5.860824531880956783e+04,9.887489870305598005e-01,8.876751725241564068e-04
5.860826615218224470e+04,9.970536563928956708e-01,8.879811887952109451e-04
5.860828698555376468e+04,1.007762487125105189e+00,8.926988592124616333e-04
5.860830781892387313e+04,9.942561887435902301e-01,8.902131386990097929e-04
5.860834948565891682e+04,9.949878152219376881e-01,8.928614163089493381e-04
5.860837031902342278e+04,1.002553528056298493e+00,8.934685648833999485e-04
5.860841198574552254e+04,1.009474250189526634e+00,8.940323926532499832e-04
5.860843281910284713e+04,1.005274031034775195e+00,8.942678413163662049e-04
5.860845365245755238e+04,1.009789253729537206e+00,8.942945342741083666e-04
5.860847448580958007e+04,1.003152339396329973e+00,8.954982556453167618e-04
5.860849531915892294e+04,1.000298765608673257e+00,8.957927480529810681e-04
5.860851615250558098e+04,9.903409574375402480e-01,8.966028008359223488e-04
5.860857865253013733e+04,9.921075384962600996e-01,8.976853558289680244e-04
5.860859948586689279e+04,9.920699132771536588e-01,8.980010475347141715e-04
5.860862031920153095e+04,1.011383060570308690e+00,8.981456633054851237e-04
5.860864115253425553e+04,9.884366824802036655e-01,8.991814829169172659e-04
5.860866198586528481e+04,1.008554121998798569e+00,8.993469037908831485e-04
5.860868281919485162e+04,9.981342017852790072e-01,9.005191752798684347e-04
5.860870365252321062e+04,9.947451870740122715e-01,9.003704730840766338e-04
5.860872448585062375e+04,9.989767835485866554e-01,9.009508531341606187e-04
5.860874531917735294e+04,9.905007308339432992e-01,9.014478098056973162e-04
5.860876615250366740e+04,9.884676833447635369e-01,9.022988680774196796e-04
5.860878698582982179e+04,9.956586611790817498e-01,9.034890570789777704e-04
5.860880781915607804e+04,1.006337841216973006e+00,9.025813426055015421e-04
5.860882865248267626e+04,9.951250144610193082e-01,9.039266407615000574e-04
5.860887031913774990e+04,1.004433296773941109e+00,9.039787280976811562e-04
5.860889115246660367e+04,9.959434226349318520e-01,9.047150463025056127e-04
5.860891198579654156e+04,9.922819676852516757e-01,9.042676713068759130e-04
5.860893281912769453e+04,9.953447490353038996e-01,9.049453576820737279e-04
5.860895365246014262e+04,1.009069010085841045e+00,9.056723273408470807e-04
5.860897448579392949e+04,9.990776374502425838e-01,9.073253877051714114e-04
5.860901615246559959e+04,9.891592260329111763e-01,9.065871152017092142e-04
5.860903698580340279e+04,1.003997784643642532e+00,9.061532919575528968e-04
5.860905781914242834e+04,9.882077087037245411e-01,9.068245006517226380e-04
5.860907865248254529e+04,1.001388897030749847e+00,9.080842149426688898e-04
5.860909948582361540e+04,9.927964253272600903e-01,9.077810484770207659e-04
5.860914115250788018e+04,1.001316034818168887e+00,9.082225690300394297e-04
5.860918281919354195e+04,9.898903069729019233e-01,9.086352062474726361e-04
5.861455779590039310e+04,1.006569248493769164e+00,1.054636574938456507e-03
5.861457862904787908e+04,1.011903927436351047e+00,1.051838759758313155e-03
5.861459946219322592e+04,1.010584723322396794e+00,1.051083727891933542e-03
5.861462029533661553e+04,1.012103903404195648e+00,1.050779101930356249e-03
5.861466196161841799e+04,9.997872976523165534e-01,1.047314437577514948e-03
5.861470362789521459e+04,1.006376077040975536e+00,1.041325470329901390e-03
5.861472446103238326e+04,1.011277505223874051e+00,1.038572599722898272e-03
5.861474529416909354e+04,1.010783819729168975e+00,1.034100775826342659e-03
5.861476612730559282e+04,1.012950707201176748e+00,1.035854595007004936e-03
5.861478696044215030e+04,1.002773142375931847e+00,1.030771519152391420e-03
5.861480779357900610e+04,1.011736460903350343e+00,1.028483986248502095e-03
5.861482862671638577e+04,1.004675892553566596e+00,1.027073903556757067e-03
5.861484945985449303e+04,1.005075090133968452e+00,1.027051345679493889e-03
5.861487029299350979e+04,9.986299223204777586e-01,1.026877870722339540e-03
5.861489112613359612e+04,1.004845644130074600e+00,1.025920306008852633e-03
5.861491195927487570e+04,1.010575771108247034e+00,1.025728426864808097e-03
5.861493279241745040e+04,9.999019749365881671e-01,1.021328547642246388e-03
5.861495362556136388e+04,1.003187537563074105e+00,1.019467566935126478e-03
5.861497445870665251e+04,1.008147040180225051e+00,1.017984914716964706e-03
5.861499529185330903e+04,1.004010460773448354e+00,1.015456319493926842e-03
5.861501612500128249e+04,1.010995956026900178e+00,1.013216131781636761e-03
5.861503695815050742e+04,1.004299556297963081e+00,1.010984733991450446e-03
5.861505779130086739e+04,1.005213408776486794e+00,1.008195356161973536e-03
5.861507862445221690e+04,9.930040501837255063e-01,1.005736032547249748e-03
5.861509945760438859e+04,1.010116533481805190e+00,1.003217322603362251e-03
5.861512029075719329e+04,1.011977384180398731e+00,9.998173009429813223e-04
5.861514112391041272e+04,1.002196756683982226e+00,9.993757701959526344e-04
5.861516195706380677e+04,9.968603925610730609e-01,9.965427017691722879e-04
5.861518279021712806e+04,9.975587458775126981e-01,9.949038777150827958e-04
5.861520362337012193e+04,1.002805462405441439e+00,9.920772336887923384e-04
5.861522445652251918e+04,1.004712513158171339e+00,9.909971271390815694e-04
5.861524528967405786e+04,9.965881482465754893e-01,9.894444776685261747e-04
5.861528695597349724e+04,1.007902936196410471e+00,9.831782698565588903e-04
5.861530778912091046e+04,9.913597774002760321e-01,9.816848324052593333e-04
5.861532862226647558e+04,9.903766380144114478e-01,9.775752681912158217e-04
5.861534945540998888e+04,9.947534728330802434e-01,9.740745170670724387e-04
5.861537028855127573e+04,9.952083577101008549e-01,9.705153152975073147e-04
5.861539112169017608e+04,9.932745918901767501e-01,9.683117806979030457e-04
5.861541195482657349e+04,9.951727808482120352e-01,9.649805942336999462e-04
5.861543278796036611e+04,1.007575811938199672e+00,9.635254076758096838e-04
5.861545362109149573e+04,9.903329987916860144e-01,9.615465414167561264e-04
5.861547445421994780e+04,9.933060321052112895e-01,9.596250355671998760e-04
5.861549528734572959e+04,9.979153701949883271e-01,9.581052331881274474e-04
5.861551612046889204e+04,9.923930606252131525e-01,9.569128932083372386e-04
5.861553695358950063e+04,9.938983939982252158e-01,9.557339924213093625e-04
5.861555778670767177e+04,9.952986531243677160e-01,9.559052318796060687e-04
5.861559945293732744e+04,9.916714934328012543e-01,9.531517534458547065e-04
5.861562028604916850e+04,9.919923741963022623e-01,9.517866770414258907e-04
5.861564111915930698e+04,9.972295643628283912e-01,9.516554015679880990e-04
5.861568278537542210e+04,1.006853128290201349e+00,9.493866793195492688e-04
5.861570361848190805e+04,9.933425094460118787e-01,9.483547415243999282e-04
5.861572445158771006e+04,9.967679843479946289e-01,9.473487898179478979e-04
5.861574528469308279e+04,9.939118392805366131e-01,9.455645100890422688e-04
5.861576611779828818e+04,9.977634837794407963e-01,9.445995306185046066e-04
5.861578695090358087e+04,9.942616822074759053e-01,9.443991085972703453e-04
5.861580778400920099e+04,9.932004603500345086e-01,9.427912379397863701e-04
5.861582861711538135e+04,1.003525034624280776e+00,9.425933653594812008e-04
5.861584945022231841e+04,1.002759541722704650e+00,9.417966337452802735e-04
5.861587028333019407e+04,9.963650399491486009e-01,9.422030921692958142e-04
5.861589111643915385e+04,1.007779060539909288e+00,9.443435644119922354e-04
5.861591194954932143e+04,9.903870248410998611e-01,9.419235549260626759e-04
5.861593278266079142e+04,1.001617248927598736e+00,9.427551759259495713e-04
5.861595361577362200e+04,9.919758629262332983e-01,9.409791619645969983e-04
5.861597444888782047e+04,9.901829698534667656e-01,9.396707281220127500e-04
5.861599528200339410e+04,9.959677889756671787e-01,9.394120053390999682e-04
5.861601611512027739e+04,1.002342789617058028e+00,9.379010390509988620e-04
5.861603694823839760e+04,9.963543679869146796e-01,9.359979213714342706e-04
5.861605778135763831e+04,1.004770494397130953e+00,9.358118729347856971e-04
5.861607861447785399e+04,9.907440546804999748e-01,9.339264204429362877e-04
5.861609944759887003e+04,9.884527642546537818e-01,9.340357905514312274e-04
5.861612028072049725e+04,9.888713670269184686e-01,9.320626959432297973e-04
5.861614111384250282e+04,9.962053468441042225e-01,9.317751906603252308e-04
5.861616194696466118e+04,1.005695653853797555e+00,9.317082734508573940e-04
5.861618278008671768e+04,9.960732604250083222e-01,9.295384980085351703e-04
5.861620361320841039e+04,9.922881181976993537e-01,9.282432166956411769e-04
5.861622444632947008e+04,9.923029194917809548e-01,9.274305846579930556e-04
5.861624527944964211e+04,9.945276132088166632e-01,9.254607241722247017e-04
5.861626611256865726e+04,1.001030724105721470e+00,9.253113764313197678e-04
5.861628694568626088e+04,9.944034000028320053e-01,9.251574615268060497e-04
5.861630777880222013e+04,9.949283114334693812e-01,9.225535678905452458e-04
5.861632861191630218e+04,9.980978547637259224e-01,9.209350522936341626e-04
5.861637027813808527e+04,1.005029594491239298e+00,9.181103379692776489e-04
5.861639111124545161e+04,9.970565142153774429e-01,9.169817023937586967e-04
5.861641194435029320e+04,9.931312994127338145e-01,9.160046913745026722e-04
5.861643277745252999e+04,1.004475988025696820e+00,9.146941989209313433e-04
5.861645361055211106e+04,1.000237695670809002e+00,9.137648603718990115e-04
5.861647444364900730e+04,1.000269004469279022e+00,9.132147263541664584e-04
5.861649527674324054e+04,9.904348328427550197e-01,9.119624382826730605e-04
5.861651610983486171e+04,9.996192464516073795e-01,9.107283325923274568e-04
5.861653694292394357e+04,9.973836748822036968e-01,9.110425685281134042e-04
5.861655777601062437e+04,9.954355825723647522e-01,9.082860922698516009e-04
5.861657860909502779e+04,9.953183053848282391e-01,9.101642165140327043e-04
5.861659944217734301e+04,1.000606721372806041e+00,9.076606100649710004e-04
5.861662027525776648e+04,1.002012028501830798e+00,9.083618813934881417e-04
5.861664110833650921e+04,9.921519209772468040e-01,9.051273097408950785e-04
5.861666194141382584e+04,9.877391397902391956e-01,9.055049509649224860e-04
5.861668277448995650e+04,9.961933167325904837e-01,9.036228498916054185e-04
5.861670360756516311e+04,9.962142102647140174e-01,9.016796492040817261e-04
5.861672444063972216e+04,9.901625310520302259e-01,9.024124071204025002e-04
5.861676610678792349e+04,9.888325136262456905e-01,8.990889956867875038e-04
5.861678693986208236e+04,9.946275181981751867e-01,8.973213925168567690e-04
5.861682860601170978e+04,9.958922644671938107e-01,8.971651834079098515e-04
5.861684943908760761e+04,9.961622083308728781e-01,8.959300286336289651e-04
5.861687027216445858e+04,9.907509362362559857e-01,8.956800900161127716e-04
5.861689110524242278e+04,1.010825659928753506e+00,8.943728929294904881e-04
5.861691193832160934e+04,1.000059492527212823e+00,8.938649930330655729e-04
5.861693277140211285e+04,9.877698970011764557e-01,8.928138284778814639e-04
5.861695360448397696e+04,1.002979568027088542e+00,8.926308685981228404e-04
5.861697443756721623e+04,9.974334360676770928e-01,8.918308479055367215e-04
5.861699527065183065e+04,9.880115200702808131e-01,8.925189815314802473e-04
5.861701610373774747e+04,9.921426654224974051e-01,8.903250404017516847e-04
5.861703693682488665e+04,1.004042058183887143e+00,8.893514501886159085e-04
5.861705776991313178e+04,1.004087932210592005e+00,8.902705105344008597e-04
5.861709943609232869e+04,9.894169538945740694e-01,8.864368374305087216e-04
5.861712026918289484e+04,9.941998383073517020e-01,8.866566505400294953e-04
5.861716193536485662e+04,9.933581601030567754e-01,8.861374971048729477e-04
5.861720360154627997e+04,1.001818392813409231e+00,8.851543487216779202e-04
5.861722443463613308e+04,1.010892120732108879e+00,8.844540859020322450e-04
5.861724526772506215e+04,1.003532445642193460e+00,8.834979293985108575e-04
5.861726610081280523e+04,1.007527121085419086e+00,8.829218474628109173e-04
5.861728693389911496e+04,1.009485992989012759e+00,8.840923170781299790e-04
5.861730776698373666e+04,1.010604878482194602e+00,8.836385718498293834e-04
5.861732860006647388e+04,1.007954786330874875e+00,8.828483723329774800e-04
5.861734943314710836e+04,1.008139471784026853e+00,8.827473970290883407e-04
5.861737026622548001e+04,1.008775409423106728e+00,8.856096466339280276e-04
5.861739109930143604e+04,1.012198006096910685e+00,8.823839568281329317e-04
5.861741193237486004e+04,9.963178498818116013e-01,8.831320388713031089e-04
5.861743276544567198e+04,9.942512677953467826e-01,8.842648108760449693e-04
5.861745359851382091e+04,1.011480431444573558e+00,8.824980200368223596e-04
5.861747443157929229e+04,9.978517980207924909e-01,8.837819490952893804e-04
5.861749526464210794e+04,9.908120210905828618e-01,8.846603062696510285e-04
5.861751609770231880e+04,9.955802280134214977e-01,8.847880721673188464e-04
5.861753693076001946e+04,1.008209014019253669e+00,8.842013845482750998e-04
5.861755776381532633e+04,9.922258869030295969e-01,8.843294500167765519e-04
5.861757859686838492e+04,1.004442019458993585e+00,8.855809739891312791e-04
5.861759942991937714e+04,1.009442946707305833e+00,8.864854002401049548e-04
5.861762026296851400e+04,1.003689747558442313e+00,8.857475229583701730e-04
5.861764109601600649e+04,1.003203573030496010e+00,8.857507034026597219e-04
