# MJD,Non_Corr_Flux,Corr_Flux,Eflux,Telescope
5.287197935000015423e+04,9.944321804548728050e-01,9.994349451343649271e-01,1.369900531594032966e-02,1.000000000000000000e+00
5.287504075999977067e+04,1.040579270235872267e+00,1.038790911840354880e+00,1.562780050824496766e-02,1.000000000000000000e+00
5.288600402999995276e+04,1.030801803928024007e+00,9.693281571117713380e-01,1.259095838554556528e-02,1.000000000000000000e+00
5.289498083999985829e+04,9.958069887489513494e-01,9.997808238621557209e-01,1.332077146229162026e-02,1.000000000000000000e+00
5.299435479999985546e+04,9.381562364357318717e-01,1.002498093763073639e+00,1.479806329398585148e-02,1.000000000000000000e+00
5.300334782999986783e+04,1.000403424966778365e+00,1.021681290239215389e+00,1.440127160662339409e-02,1.000000000000000000e+00
5.301133410000009462e+04,1.055784227924378538e+00,9.790517258381358223e-01,1.443447409808222559e-02,1.000000000000000000e+00
5.301732574999984354e+04,9.558179229564981449e-01,9.794308549112109574e-01,1.380104153744904881e-02,1.000000000000000000e+00
5.302535666000004858e+04,9.997126093895025711e-01,9.619137352862603407e-01,1.276886586596020882e-02,1.000000000000000000e+00
5.303032965999981388e+04,9.830490094151123071e-01,9.419034082933249730e-01,1.529723473507255821e-02,1.000000000000000000e+00
5.303430849999981001e+04,1.012686848403238304e+00,9.763281990832757273e-01,1.333813792487099914e-02,1.000000000000000000e+00
5.304231368000013754e+04,1.061634858183003960e+00,9.867921305987817915e-01,1.412083078669428005e-02,1.000000000000000000e+00
5.305131956999981776e+04,9.394532429087157910e-01,1.030390698032792374e+00,1.478103177123033483e-02,1.000000000000000000e+00
5.305431902999989688e+04,1.014320422903784991e+00,9.372789089640738425e-01,1.265624142054885999e-02,1.000000000000000000e+00
5.305734654999990016e+04,1.005021077370210625e+00,9.717188039725156434e-01,1.353691286118906788e-02,1.000000000000000000e+00
5.306029752000002190e+04,1.009660043888719771e+00,1.009098217243774576e+00,1.329450620045215768e-02,1.000000000000000000e+00
5.306926893999986351e+04,9.237940695748568798e-01,9.691554847154901786e-01,1.616343421464301253e-02,1.000000000000000000e+00
5.307129819000000134e+04,9.990222708459413070e-01,1.003082334787215535e+00,1.532034227885764772e-02,1.000000000000000000e+00
5.307531395999994129e+04,9.617787335494388801e-01,1.031119691968760854e+00,1.423995914921919077e-02,1.000000000000000000e+00
5.307823842999991030e+04,9.442242933025272178e-01,1.048140050464915429e+00,1.560395697795472977e-02,1.000000000000000000e+00
5.308029475999996066e+04,9.912316712372158944e-01,9.450259253891054589e-01,1.500358686384682325e-02,1.000000000000000000e+00
5.308527814000006765e+04,1.007337890226859045e+00,9.973485093316415417e-01,1.455614019950851080e-02,1.000000000000000000e+00
5.308727747000008821e+04,1.042737926267629067e+00,9.510452683669292639e-01,1.511646134166684009e-02,1.000000000000000000e+00
5.309021578000020236e+04,8.928431477220959422e-01,1.012698971886667243e+00,1.705759468747887822e-02,1.000000000000000000e+00
5.309225535999983549e+04,9.841814381657988386e-01,9.831778805653037523e-01,1.189886989594594706e-02,1.000000000000000000e+00
5.309625638000015169e+04,9.453119977064721180e-01,1.011161500853901218e+00,1.261726793394650839e-02,1.000000000000000000e+00
5.310024638999998569e+04,9.291271909391454198e-01,1.063281395514433569e+00,1.563442101340273976e-02,1.000000000000000000e+00
5.310523757999995723e+04,9.862230982858954942e-01,1.037999944777322492e+00,1.643281234339934518e-02,1.000000000000000000e+00
5.310724057999998331e+04,9.812398330438971694e-01,9.303797823563865199e-01,1.130340664392651649e-02,1.000000000000000000e+00
5.310924078000010923e+04,1.020881114788878552e+00,1.007027836766831719e+00,1.227032506315737029e-02,1.000000000000000000e+00
5.311133014000020921e+04,9.512072897220612555e-01,1.045564401010501632e+00,1.451155371600951552e-02,1.000000000000000000e+00
5.311415220999997109e+04,9.461830633110887012e-01,1.065460094172476113e+00,1.390768433793180929e-02,1.000000000000000000e+00
5.311619970000023022e+04,9.125888744619052861e-01,1.041721063079717124e+00,1.317559420570512882e-02,1.000000000000000000e+00
5.312117701000021771e+04,9.884965773253689969e-01,1.006367513479616616e+00,1.296941435914757829e-02,1.000000000000000000e+00
5.312516722999978811e+04,9.233687446263434406e-01,1.010918385064476066e+00,1.341034450769260609e-02,1.000000000000000000e+00
5.313017006999999285e+04,9.046387149832001429e-01,1.034231246886317512e+00,1.478342457552866106e-02,1.000000000000000000e+00
5.313217597999982536e+04,8.653168684295884372e-01,1.014910381381687765e+00,1.339094032386459708e-02,1.000000000000000000e+00
5.313417619000002742e+04,1.070964733514353728e+00,1.001519865169746337e+00,1.263126871594721923e-02,1.000000000000000000e+00
5.314217934999987483e+04,8.739270257777363993e-01,1.003543670296406898e+00,1.337715729976085566e-02,1.000000000000000000e+00
5.315309892999986187e+04,9.466188970611794096e-01,1.004436606284078604e+00,1.448914057577080361e-02,1.000000000000000000e+00
5.315512510999990627e+04,8.501100881089540540e-01,1.007613863446957803e+00,1.461033751728865043e-02,1.000000000000000000e+00
5.315817138999979943e+04,9.597876776838281110e-01,1.020850297974697840e+00,1.508291729982742281e-02,1.000000000000000000e+00
5.316017330999998376e+04,1.010125116600658846e+00,9.561900940594982856e-01,1.406143580673532151e-02,1.000000000000000000e+00
5.316318296999996528e+04,1.006178816966263101e+00,9.726393083764495184e-01,1.428880651815578155e-02,1.000000000000000000e+00
5.316517726999986917e+04,1.000173100083595612e+00,9.965134657357215264e-01,1.425799216336877916e-02,1.000000000000000000e+00
5.317118549000006169e+04,1.003864669904145135e+00,1.042674367759524712e+00,1.416433385355254579e-02,1.000000000000000000e+00
5.317517299999995157e+04,9.691146747767801495e-01,9.696126073537972845e-01,1.370285539346043600e-02,1.000000000000000000e+00
5.318010325000016019e+04,9.866773753999348306e-01,1.009424978123282912e+00,1.399473633104889730e-02,1.000000000000000000e+00
5.318501994000002742e+04,9.368610206061928070e-01,9.979377934930062644e-01,1.419173564294159626e-02,1.000000000000000000e+00
5.318705230000009760e+04,9.284855942385018546e-01,1.000874166784864405e+00,1.450371447172824069e-02,1.000000000000000000e+00
5.319008929000003263e+04,1.018298654453254626e+00,1.034793351806607253e+00,1.461849206201080824e-02,1.000000000000000000e+00
5.339535234000021592e+04,9.722437721811401090e-01,9.784253312893602672e-01,1.930590147158634667e-02,1.000000000000000000e+00
5.339930447999993339e+04,1.015021332687166211e+00,1.031222563129130965e+00,2.207342433140374247e-02,1.000000000000000000e+00
5.340530813999986276e+04,1.042257838259479374e+00,1.062314358027429684e+00,2.034057524147642876e-02,1.000000000000000000e+00
5.340833930000010878e+04,1.001555845232571240e+00,9.880137956458471260e-01,1.564403136200502586e-02,1.000000000000000000e+00
5.341133305000001565e+04,9.187030747808071496e-01,1.019349523381257727e+00,1.854614812897395146e-02,1.000000000000000000e+00
5.341431897999998182e+04,9.142714745487653394e-01,9.725899319157645939e-01,1.409665749321802226e-02,1.000000000000000000e+00
5.341731933999992907e+04,9.682224981009737164e-01,9.653588712583605069e-01,1.944969404098324459e-02,1.000000000000000000e+00
5.342533342000003904e+04,1.041777971289123528e+00,9.967466010784531427e-01,1.869108679927413905e-02,1.000000000000000000e+00
5.343134051000000909e+04,9.586833171273138055e-01,9.965617833976746498e-01,2.039345860979682040e-02,1.000000000000000000e+00
5.343828280999977142e+04,1.098689995473385084e+00,1.024684979533482032e+00,1.631177761854095062e-02,1.000000000000000000e+00
5.344228282999992371e+04,1.016892794229529828e+00,1.005064680139236222e+00,1.581088493517982321e-02,1.000000000000000000e+00
5.344429583000019193e+04,1.000633802890329438e+00,1.031841230273781385e+00,1.836048892650058578e-02,1.000000000000000000e+00
5.344633330000005662e+04,1.025357163518162640e+00,1.000488897118502640e+00,2.210996083901489717e-02,1.000000000000000000e+00
5.345221967000002041e+04,1.040579270235872267e+00,9.950897380615103538e-01,1.804983114547231357e-02,1.000000000000000000e+00
5.345319313000002876e+04,8.918158155543420840e-01,9.736848383738985202e-01,2.017422223252449826e-02,1.000000000000000000e+00
5.345426858999999240e+04,8.667127190554640981e-01,1.013263032069616543e+00,1.891530396003265890e-02,1.000000000000000000e+00
5.345826887999987230e+04,1.162987829452539978e+00,9.361988571302399809e-01,1.362573589080432086e-02,1.000000000000000000e+00
5.346028042999980971e+04,1.013386629363494773e+00,1.023936383430505748e+00,1.633575522606929217e-02,1.000000000000000000e+00
5.346320055000018328e+04,1.010590403535819526e+00,9.821746935066046902e-01,1.765763726016804022e-02,1.000000000000000000e+00
5.346525461999978870e+04,1.082617816410097689e+00,9.599367493306149024e-01,1.742997201595175225e-02,1.000000000000000000e+00
5.346822880000015721e+04,9.735879048712623440e-01,9.593744015336092001e-01,1.482946432657115086e-02,1.000000000000000000e+00
5.347024428000021726e+04,1.036513994037703279e+00,9.841150556127902238e-01,1.644300601185391328e-02,1.000000000000000000e+00
5.347229120999993756e+04,9.187030747808071496e-01,1.013821916551149283e+00,1.325425023526791320e-02,1.000000000000000000e+00
5.347436376000009477e+04,9.455296888995510241e-01,1.014711662342066889e+00,1.894631423799663858e-02,1.000000000000000000e+00
5.347509416999993846e+04,1.018767706308538967e+00,1.009727552821234831e+00,1.643923209808085054e-02,1.000000000000000000e+00
5.347509742000000551e+04,1.017361198513157872e+00,1.067563655923852384e+00,1.684926601747339589e-02,1.000000000000000000e+00
5.347510075000021607e+04,1.006642286144761922e+00,9.981166645937226134e-01,1.497045176703672674e-02,1.000000000000000000e+00
5.347510395999997854e+04,9.347063000516603326e-01,9.876507647470840201e-01,1.804073564429772847e-02,1.000000000000000000e+00
5.347510723000019789e+04,9.862230982858954942e-01,9.848417004740137592e-01,1.572896007606010629e-02,1.000000000000000000e+00
5.347511049999995157e+04,9.787576508271245146e-01,1.038406135416321430e+00,1.683585041891454484e-02,1.000000000000000000e+00
5.347511287999991328e+04,8.560027697273019376e-01,1.018477919475754057e+00,1.822475829997164537e-02,1.000000000000000000e+00
5.347511941999988630e+04,9.227311243459284107e-01,9.361566726911892955e-01,1.723842130594607086e-02,1.000000000000000000e+00
5.347512266999995336e+04,9.771813505727857674e-01,9.647684724107054022e-01,1.638978702558968256e-02,1.000000000000000000e+00
5.347513243000023067e+04,9.702310517935073264e-01,9.553765726998166841e-01,1.733280738502588486e-02,1.000000000000000000e+00
5.347513571000006050e+04,9.178573075288580796e-01,9.615892930829847973e-01,1.680389791531049226e-02,1.000000000000000000e+00
5.347535646999999881e+04,9.789830440531269717e-01,1.050512890821213352e+00,2.013343843528519680e-02,1.000000000000000000e+00
